Crash_ID,Damaged_Property
16926855,PRIVACY WOODEN FENCE
16927060,CONCRETE GUARDRAIL
16927178,STOP SIGN
16927366,GUARDRAIL
16927366,"FENCE, GATE, CATTLE GUARD"
16927390,BROKEN WOODEN FENCE
16927390,TREE DAMAGED BY LARGE WALL PIECES
16927390,METAL SHED DAMAGED BY LARGE WALL PIECES
16927390,10-15 FEET OF ROCK RETAINING WALL
16927390,PUSH MOWER DAMAGED BY LARGE WALL PIECES
16927469,NO PARKINGTOW AWAY ZONE/PAY TO PARK SIGN
16927469,BRICK WALL
16927478,NORTH BOUND GUARD RAIL DENTED
16927490,"DAMAGE TO FENCE, POST'S, AND LANDSCAPING"
16927541,WATER CUT OFF
16927553,STOP SIGN KNOCKED DOWN
16927630,BROKEN BRICK ON FRONT OF RESIDENCE
16927688,LIGHT POLE
16927717,LIGHT POLE
16927718,UTILITY POLE
16927719,LIGHT POLE  POLE # 538288
16927727,ELECTRICAL POLE #191157
16927758,LIGHT POLE #8N 4W 16
16927762,NASH BUSINESS PARK SIGNAGE
16927762,FIRE HYDRANT
16927768,LIGHT POLE
16927804,"TREE DAMAGE, LANDSCAPE DAMAGE"
16927823,GUARD RAIL
16927828,DAMAGED SIGNS AND POSTS
16927840,DOWNED POLE WITH PEDESTRIAN CROSS SIGNAL
16927861,GUARD RAIL DAMAGE
16927863,"SIDE FENCE, DAMAGE VALUE UNKNOWN"
16927882,EXTRUDER BARRIER
16927894,DEAD DEER
16927909,SOUTH) CORNER DAMAGED  BREAKING CURB 1FT
16927957,CONCRETE WALL AND RAIL DAMAGE
16927971,CONCRETE BARRIER WALL
16927972,CHAIN LINK FENCE
16928006,FENCE
16928006,CABLE MARKER
16928020,SMALL AIR CONDITIONER UNIT
16928063,ISOLA BELLA WALL ENTRANCE
16928085,DPS GUARD RAIL
16928088,CITY OF KILLEEN FENCING
16928175,ELECTRIC POLES
16928176,WOOD FENCE
16928176,TELEPHONE WOODEN POLE
16928198,MAILBOX
16928224,BROKEN POLE FOR GREEN CITY STREET SIGN
16928233,GUARD RAIL
16928289,FENCE
16928320,EXIT SIGN
16928334,ONCOR LIGHT POLE
16928339,STREET LIGHT POLE 13305
16928344,CENTER MEDIAN BARRIER CABLE
16928361,PERSONAL ITEMS IN APARTMENT #207
16928361,APARTMENT BUILDING WALL
16928362,METAL STREET LIGHT POLE
16928383,WIRE FENCE AND POSTS
16928387,CITY OF GROVES FIRE HYDRANT
16928424,CONCRETE GUARD RAIL
16928425,FENCE
16928446,MOTIVA REFINERY FENCE @ 1900 HOUSTON AVE
16928507,15 FEET OF CHAIN LINK HIGH FENCE
16928514,GUARDRAIL
16928519,GUARD RAIL
16928520,GUARDRAIL
16928521,CONCRETE MEDIAN
16928541,METAL GUARDRAIL
16928585,15' OF WIRE FENCE AND T POST
16928598,EXIT SIGN
16928606,RAILROAD CROSSING POLE/ARM
16928611,STOPLIGHT
16928638,GUARD RAIL
16928645,GUARDRAIL
16928646,GUARD RAIL
16928648,GAURD RAIL
16928650,CONCRETE GUARD RAIL
16928651,CONCRETE BARRIER
16928651,PILLER
16928652,CONCRETE GAURDRAIL CENTER MEDIAN
16928656,LANDSCAPE BUSHES
16928668,15 FEET OF METAL WIRE FENCING
16928672,DAMAGED HOTEL PERIMETER FENCE AT CRYSTAL
16928705,GUARDRAIL
16928709,NO PARKING SIGN
16928719,BARBED WIRE FENCE
16928725,CROSS WALK SIGN
16928738,MAIL BOX MADE OF CONRETE WAS DEMOLISHED.
16928802,GAURDRAIL DAMAGE
16928807,TRAFFIC BARREL
16928813,OVERHEAD GARAGE DOOR
16928820,DAMAGE TO LIGHT POLE - ENTERGY
16928820,DAMAGE TO PVT OWNER FENCE
16928841,BARBWIRE FENCING APPROX. 25 FEET.
16928842,DAMAGED  SECTION OF WOODEN PRIVACY FENCE
16928850,CENTER POINT POWER POLE
16928858,CABLE POLE #14331
16928858,DAMAGE TO THE SOUTHWEST CORNER OF A BUSI
16928858,FIRE HYDRANT
