Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
17219155,1,19
17219155,2,1
17232029,2,99
17236207,1,19
17236245,1,19
17236245,2,1
17236284,1,19
17236293,1,19
17236308,1,20
17236360,1,20
17236360,2,19
17236387,1,98
17236387,2,19
17236389,1,19
17236390,1,98
17236391,1,99
17236393,1,99
17236443,1,20
17236445,1,20
17236445,2,19
17236488,1,1
17236488,2,1
17236491,1,19
17236491,3,98
17236517,1,19
17236517,2,1
17236537,1,19
17236539,1,23
17236539,2,20
17236565,1,19
17236571,1,99
17236580,1,1
17236642,1,20
17236647,1,19
17236647,2,19
17236650,1,20
17236691,1,1
17236691,2,19
17236694,1,19
17236694,2,19
17236695,1,1
17236695,2,19
17236699,1,99
17236699,2,19
17236706,1,99
17236709,1,23
17236710,1,1
17236710,2,23
17236712,1,19
17236715,1,19
17236715,2,19
17236716,1,19
17236716,2,19
17236721,1,23
17236723,1,19
17236723,2,19
17236732,1,19
17236732,2,19
17236735,1,1
17236735,2,19
17236740,1,19
17236740,2,19
17236742,1,19
17236742,2,19
17236742,3,19
17236747,1,19
17236752,1,19
17236752,2,19
17236761,1,19
17236769,1,19
17236769,2,64
17236790,1,19
17236790,2,19
17236820,1,19
17236820,2,19
17236828,1,19
17236828,2,20
17236830,1,19
17236830,2,19
17236830,3,19
17236832,1,1
17236837,1,98
17236837,2,19
17236840,1,99
17236840,2,19
17236841,1,99
17236841,2,19
17236844,1,1
17236844,2,19
17236845,1,19
17236845,2,19
17236845,3,19
17236847,1,19
17236847,2,19
17236849,1,99
17236870,1,19
17236870,2,19
17236876,1,1
17236876,2,1
17236877,1,1
17236877,2,19
17236879,1,20
17236879,2,19
17236881,1,1
17236881,2,19
17236884,1,99
17236890,1,19
17236890,2,1
17236896,1,1
17236896,2,19
17236896,3,23
17236898,1,1
17236898,2,19
17236900,1,19
17236903,1,19
17236903,2,19
17236906,1,99
17236907,1,1
17236907,2,19
17236908,1,98
17236908,2,19
17236908,3,1
17236909,2,1
17236916,1,1
17236916,2,1
17236931,1,19
17236931,2,19
17236934,1,1
17236934,2,19
17236936,1,19
17236939,1,99
17236941,1,99
17236941,3,19
17236942,1,99
17236942,2,19
17236943,1,99
17236943,2,19
17236945,1,19
17236945,2,98
17236947,1,99
17236970,1,98
17236970,2,1
17236979,1,19
17236979,2,19
17236980,1,19
17236980,2,19
17236981,1,19
17236981,2,98
17236983,1,19
17236983,2,20
17236989,1,99
17237007,1,19
17237007,2,19
17237012,1,19
17237012,2,19
17237015,1,19
17237015,2,19
17237016,1,99
17237023,1,19
17237023,2,19
17237030,1,19
17237030,2,19
17237032,1,1
17237032,2,19
17237034,1,19
17237034,2,19
17237035,1,21
17237035,2,19
17237035,3,19
17237038,1,19
17237038,2,19
17237044,1,99
17237044,2,20
17237046,1,19
17237046,2,20
17237046,3,19
17237047,1,19
17237053,1,99
17237054,1,19
17237054,2,19
17237056,1,19
17237056,2,1
17237067,1,20
17237067,2,19
17237072,1,99
17237072,2,20
17237075,1,19
17237077,1,1
17237078,1,1
17237078,2,19
17237081,1,19
17237081,2,98
17237087,1,99
17237087,2,19
17237089,1,99
17237090,1,19
17237090,2,98
17237092,1,19
17237096,1,1
17237096,1,14
17237096,2,19
17237097,1,99
17237097,2,19
17237109,1,1
17237109,2,19
17237111,1,20
17237114,1,19
17237114,2,1
17237119,1,19
17237119,2,19
17237120,1,19
17237120,2,20
17237121,1,20
17237133,1,19
17237133,2,19
17237133,3,19
17237144,1,1
17237144,2,99
17237152,1,19
17237152,2,20
17237155,1,19
17237156,1,99
17237156,2,19
17237159,1,19
17237159,2,1
17237159,2,49
17237161,1,1
17237161,2,98
17237165,1,21
17237165,1,22
17237177,1,23
17237178,1,19
17237180,1,19
17237183,1,19
17237183,2,1
17237187,1,19
17237187,2,19
