Crash_ID,Unit_Nbr,Drvr_Lic_Endors_ID
17224351,1,96
17224351,2,96
17334698,1,96
17334717,1,96
17334717,2,99
17335007,1,96
17335033,1,96
17335033,2,96
17335065,1,8
17335096,1,96
17335139,1,99
17335168,1,8
17335181,1,99
17335209,1,96
17335242,1,99
17335242,2,96
17335286,1,96
17335311,1,99
17335311,2,96
17335316,1,96
17335335,1,96
17335335,2,8
17335380,1,96
17335380,2,96
17335392,1,96
17335392,2,99
17335394,1,96
17335395,1,8
17335395,2,96
17335411,1,96
17335411,2,8
17335411,3,96
17335468,1,96
17335468,2,3
17335470,1,96
17335470,2,96
17335487,1,96
17335487,2,8
17335488,1,99
17335495,1,96
17335495,2,96
17335519,1,96
17335519,2,96
17335524,1,96
17335524,2,8
17335533,1,96
17335533,2,96
17335542,1,96
17335542,2,96
17335552,1,96
17335553,1,8
17335553,2,96
17335554,1,99
17335554,2,8
17335554,3,96
17335554,4,96
17335557,1,99
17335559,1,96
17335559,3,96
17335569,1,96
17335569,2,96
17335592,1,96
17335592,2,96
17335597,1,8
17335625,1,96
17335625,2,96
17335635,1,99
17335635,2,96
17335635,3,8
17335642,1,96
17335642,2,96
17335662,1,96
17335662,2,96
17335663,1,96
17335663,2,96
17335675,1,99
17335675,2,96
17335688,1,96
17335688,2,8
17335704,1,99
17335704,3,96
17335713,1,96
17335713,2,96
17335718,1,96
17335718,2,96
17335725,1,96
17335725,2,96
17335738,1,96
17335738,2,8
17335742,1,8
17335742,2,96
17335745,1,99
17335745,2,96
17335746,1,96
17335752,1,98
17335752,2,96
17335782,1,96
17335789,1,96
17335789,2,96
17335806,1,96
17335806,2,96
17335814,1,96
17335814,2,99
17335828,1,99
17335842,1,96
17335842,2,96
17335843,1,96
17335843,2,96
17335845,1,96
17335845,2,96
17335846,1,96
17335846,2,96
17335855,1,99
17335857,1,96
17335857,2,96
17335860,1,96
17335860,2,96
17335862,1,96
17335865,1,96
17335865,2,96
17335868,1,99
17335869,1,96
17335883,1,8
17335883,2,4
17335896,1,96
17335896,2,96
17335902,1,99
17335902,2,96
17335915,1,96
17335915,2,96
17335915,3,96
17335930,1,96
17335930,2,96
17335940,1,8
17335943,1,96
17335943,2,96
17335947,1,96
17335947,2,96
17335951,1,96
17335951,2,96
17335955,1,96
17335955,2,96
17335975,1,96
17336009,1,96
17336017,1,99
17336029,1,96
17336031,1,2
17336031,1,3
17336031,1,6
17336031,2,96
17336033,1,96
17336033,2,96
17336042,1,96
17336042,2,96
17336043,1,8
17336043,2,96
17336046,1,6
17336046,1,7
17336046,3,96
17336051,1,96
17336051,2,96
17336052,1,96
17336052,2,98
17336055,1,96
17336055,2,96
17336057,1,96
17336057,2,96
17336058,1,96
17336058,2,96
17336061,1,96
17336061,2,96
17336065,1,96
17336065,2,99
17336068,1,99
17336068,2,96
17336077,1,96
