Crash_ID,Unit_Nbr,Prsn_Nbr,Prsn_Type_ID,Prsn_Occpnt_Pos_ID,Prsn_Injry_Sev_ID,Prsn_Age,Prsn_Ethnicity_ID,Prsn_Gndr_ID,Prsn_Ejct_ID,Prsn_Rest_ID,Prsn_Airbag_ID,Prsn_Helmet_ID,Prsn_Sol_Fl,Prsn_Alc_Spec_Type_ID,Prsn_Alc_Rslt_ID,Prsn_Bac_Test_Rslt,Prsn_Drg_Spec_Type_ID,Prsn_Drg_Rslt_ID,Prsn_Death_Time,Sus_Serious_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt
17376074,1,2,2,4,0,64,2,2,1,1,2,97,N,,,,,,,0,0,0,0,1,0,0
17376074,1,3,2,3,0,72,2,2,1,1,2,97,N,,,,,,,0,0,0,0,1,0,0
17432536,1,2,2,3,5,21,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17432613,1,2,2,3,5,23,2,1,1,1,3,97,N,,,,,,,0,0,0,1,0,0,0
17433706,1,2,2,6,5,7,2,1,1,7,1,97,N,,,,,,,0,0,0,1,0,0,0
17433922,1,2,2,3,5,30,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17433980,2,2,2,3,5,22,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17433983,1,2,2,3,5,34,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17433986,1,2,2,3,1,21,2,1,1,10,8,97,Y,,,,,,,1,0,0,0,0,1,0
17434071,1,2,2,3,5,38,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17434071,1,3,2,6,5,5,2,1,1,4,2,97,N,,,,,,,0,0,0,1,0,0,0
17434185,2,2,2,3,3,10,2,2,1,1,2,97,N,,,,,,,0,0,1,0,0,1,0
17434223,1,2,2,3,5,41,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17434223,3,2,2,3,3,19,2,2,1,1,8,97,N,,,,,,,0,0,1,0,0,1,0
17434227,2,2,2,3,3,15,3,2,1,1,2,97,N,,,,,,,0,0,1,0,0,1,0
17434234,2,2,2,3,5,18,1,2,1,1,8,97,N,,,,,,,0,0,0,1,0,0,0
17434248,2,2,2,3,5,40,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17434284,3,2,2,3,5,14,1,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17434284,3,3,2,6,3,7,1,2,1,1,1,97,N,,,,,,,0,0,1,0,0,1,0
17434315,1,2,2,6,5,2,3,1,1,4,8,97,N,,,,,,,0,0,0,1,0,0,0
17434365,1,2,2,3,5,,0,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17434422,2,2,2,3,5,42,2,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17434451,2,2,2,4,3,6,3,1,1,4,2,97,N,,,,,,,0,0,1,0,0,1,0
17434452,2,2,2,3,5,35,3,1,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17434508,1,2,2,3,3,64,2,2,1,1,2,97,N,,,,,,,0,0,1,0,0,1,0
17434643,1,2,2,3,0,,3,2,1,10,2,97,N,,,,,,,0,0,0,0,1,0,0
17434644,1,2,2,5,3,2,3,2,1,4,1,97,N,,,,,,,0,0,1,0,0,1,0
17434646,2,2,2,3,5,50,1,2,1,1,2,97,N,,,,,,,0,0,0,1,0,0,0
17434669,2,2,2,5,5,1,2,1,1,5,2,97,N,,,,,,,0,0,0,1,0,0,0
17434694,2,2,2,14,5,75,4,2,1,8,2,97,N,,,,,,,0,0,0,1,0,0,0
17434694,2,3,2,14,5,63,2,1,1,8,2,97,N,,,,,,,0,0,0,1,0,0,0
17434694,2,4,2,14,5,58,1,1,1,8,2,97,N,,,,,,,0,0,0,1,0,0,0
